DCLXXVIII,678
MMCMI,2901
CCLXXX,280
1350,MCCCL
MMDIX,2509
2183,MMCLXXXIII
217,CCXVII
DXXXIV,534
836,DCCCXXXVI
2016,MMXVI
CMLXXVI,976
587,DLXXXVII
MVI,1006
2808,MMDCCCVIII
2534,MMDXXXIV
DCLXXXVII,687
MMCDLXXVII,2477
1531,MDXXXI
CCLXXXVIII,288
1445,MCDXLV
619,DCXIX
MMCDXXVI,2426
MCDVII,1407
2609,MMDCIX
379,CCCLXXIX
221,CCXXI
1715,MDCCXV
175,CLXXV
MCDXLI,1441
2570,MMDLXX
915,CMXV
MMCMLXII,2962
2066,MMLXVI
2827,MMDCCCXXVII
465,CDLXV
452,CDLII
MMCDLXXXIII,2483
2904,MMCMIV
1751,MDCCLI
MMDCCXXI,2721
MMDCX,2610
1186,MCLXXXVI
MMDCCCLXXXIII,2883
931,CMXXXI
711,DCCXI
739,DCCXXXIX
2786,MMDCCLXXXVI
MCD,1400
MMXL,2040
1547,MDXLVII
29,XXIX
1300,MCCC
598,DXCVIII
MMDCIX,2609
1223,MCCXXIII
MCLII,1152
DXLV,545
2508,MMDVIII
MCCLXXXIV,1284
1340,MCCCXL
1142,MCXLII
2750,MMDCCL
919,CMXIX
CCXVII,217
MDCXXXVIII,1638
DXXXIII,533
471,CDLXXI
MCDLXIII,1463
CXXXII,132
MCLXXI,1171
2442,MMCDXLII
MDCCLXX,1770
DCXXVII,627
DCII,602
MDCCCLXXXIX,1889
2671,MMDCLXXI
1836,MDCCCXXXVI
DCCXXVIII,728
MCCCXLI,1341
656,DCLVI
DCXIV,614
MMDCCCXXXVI,2836
2712,MMDCCXII
DCCCXLIX,849
2253,MMCCLIII
1382,MCCCLXXXII
2377,MMCCCLXXVII
2477,MMCDLXXVII
2543,MMDXLIII
MMLXXXVII,2087
154,CLIV
DXXXVI,536
62,LXII
2976,MMCMLXXVI
2925,MMCMXXV
MCCCLXXXVI,1386
x 324#23# 4,ERROR
140,CXL
CCCXXI,321
MCVIII,1108
1408,MCDVIII
MDCV,1605
MCCLII,1252
41,XLI
MDCCCLXX,1870
MMCLXXXIV,2184
CMLXII,962
MCLXII,1162
DLXXV,575
31,XXXI
1015,MXV
2721,MMDCCXXI
MMLIX,2059
MDCCXCI,1791
1556,MDLVI
851,DCCCLI
2464,MMCDLXIV
MMDXXII,2522
DCCCXXXVIII,838
2268,MMCCLXVIII
2193,MMCXCIII
316,CCCXVI
MDLXXVIII,1578
MMLXXIV,2074
2905,MMCMV
MMCCCIX,2309
1490,MCDXC
252,CCLII
MMDCCCXCVIII,2898
MDCXCV,1695
1916,MCMXVI
2554,MMDLIV
MMDVIII,2508
2004,MMIV
2839,MMDCCCXXXIX
MMDCCCLXXVI,2876
MMCXXVII,2127
MCLXXXIII,1183
CDLXXI,471
DCC,700
MMCCCX,2310
745,DCCXLV
2992,MMCMXCII
876,DCCCLXXVI
1612,MDCXII
2175,MMCLXXV
MMCX,2110
MMCMLXXXIII,2983
MXXIV,1024
749,DCCXLIX
956,CMLVI
1616,MDCXVI
MDCCCXIII,1813
MMDCXXX,2630
1437,MCDXXXVII
MDXVI,1516
2237,MMCCXXXVII
346,CCCXLVI
886,DCCCLXXXVI
2533,MMDXXXIII
MDXLI,1541
MMCCCLV,2355
MMCMXLVIII,2948
MDCCXLI,1741
DXI,511
DCCLXXXII,782
MCCCXXI,1321
443,CDXLIII
2876,MMDCCCLXXVI
27,XXVII
2174,MMCLXXIV
622,DCXXII
MCDXCVI,1496
DCCI,701
2433,MMCDXXXIII
XLVII,47
522,DXXII
2717,MMDCCXVII
MMDCCXCII,2792
iiYH88HH       I,ERROR
MMC,2100
2172,MMCLXXII
CCCXLVII,347
MMCMXXXVII,2937
MMCDXXII,2422
171,CLXXI
MDCXIV,1614
MXCII,1092
MDCCXXXII,1732
2651,MMDCLI
2973,MMCMLXXIII
MMDCCLXXI,2771
MMDCCCIV,2804
1933,MCMXXXIII
MMCMXCI,2991
1455,MCDLV
DCXXXI,631
279,CCLXXIX
548,DXLVIII
2216,MMCCXVI
MDXXXVIII,1538
2469,MMCDLXIX
1513,MDXIII
1729,MDCCXXIX
CLXXX,180
CCXCI,291
2787,MMDCCLXXXVII
335,CCCXXXV
MMDCCXLI,2741
MCLX,1160
MCCVIII,1208
MDXCVI,1596
MDCCLXVI,1766
1952,MCMLII
MCCLXXII,1272
MMCMXXXIV,2934
2471,MMCDLXXI
CCLXXIII,273
ML,1050
MDCCCLVII,1857
MMDCXLII,2642
MCMXV,1915
MMDCCLXXV,2775
MMCDXXVIII,2428
1474,MCDLXXIV
2494,MMCDXCIV
2219,MMCCXIX
MDCCCLXXV,1875
384,CCCLXXXIV
1263,MCCLXIII
MMDCCLIII,2753
1832,MDCCCXXXII
DCCL,750
MMCCXLVIII,2248
763,DCCLXIII
2877,MMDCCCLXXVII
XVII,17
CIII,103
MMCCCLXVII,2367
DXXV,525
2880,MMDCCCLXXX
MMCDLXXVI,2476
DL,550
408,CDVIII
MMLXXVIII,2078
LXIII,63
103,CIII
MLVII,1057
1850,MDCCCL
1600,MDC
MMXCVII,2097
2038,MMXXXVIII
MDCXXIV,1624
1858,MDCCCLVIII
MDCCCIII,1803
2144,MMCXLIV
2991,MMCMXCI
1996,MCMXCVI
MMCDXLVI,2446
MCLXV,1165
DCCCIV,804
538,DXXXVIII
CCCXXXIV,334
2995,MMCMXCV
MMCCXV,2215
731,DCCXXXI
MMCCXXVII,2227
MMDCCIII,2703
2504,MMDIV
DCCCLIV,854
MDXLVI,1546
513,DXIII
2842,MMDCCCXLII
CMXXXVIII,938
946,CMXLVI
2705,MMDCCV
2559,MMDLIX
684,DCLXXXIV
2231,MMCCXXXI
MMDCCXXIII,2723
2142,MMCXLII
CDLXXXV,485
1613,MDCXIII
2294,MMCCXCIV
DCLVII,657
1493,MCDXCIII
2929,MMCMXXIX
MMDCXCVIII,2698
2091,MMXCI
2065,MMLXV
1973,MCMLXXIII
MCDXCIX,1499
MCX,1110
1839,MDCCCXXXIX
50,L
MMDCCXC,2790
2184,MMCLXXXIV
CCXXX,230
1123,MCXXIII
MDCCXCIII,1793
MMCCCVII,2307
2515,MMDXV
MMCLXXXVIII,2188
1270,MCCLXX
MDXI,1511
317,CCCXVII
MCCXCI,1291
MMDCCCXCVII,2897
MMXC,2090
273,CCLXXIII
1166,MCLXVI
179,CLXXIX
456,CDLVI
2254,MMCCLIV
2924,MMCMXXIV
CCLXXXVI,286
2233,MMCCXXXIII
MCCXXXVIII,1238
MMDXC,2590
2218,MMCCXVIII
569,DLXIX
MCLXXXIV,1184
2612,MMDCXII
1529,MDXXIX
986,CMLXXXVI
MCDL,1450
1124,MCXXIV
133,CXXXIII
MMDCXXXVII,2637
231,CCXXXI
MMCDXLI,2441
482,CDLXXXII
1507,MDVII
2843,MMDCCCXLIII
893,DCCCXCIII
XXVI,26
MMXLVII,2047
  ;#'[]'#./,ERROR
MLXIII,1063
142,CXLII
DCCXII,712
1339,MCCCXXXIX
2817,MMDCCCXVII
DCCVII,707
805,DCCCV
565,DLXV
DCCCLXXI,871
353,CCCLIII
MMDXLIX,2549
MMCCXCI,2291
MDCCIX,1709
MMDXXXI,2531
516,DXVI
2272,MMCCLXXII
1718,MDCCXVIII
1988,MCMLXXXVIII
1086,MLXXXVI
2060,MMLX
MMDCCLII,2752
1611,MDCXI
501,DI
2532,MMDXXXII
1740,MDCCXL
MMCCCXXXI,2331
CCXI,211
CCLXI,261
423,CDXXIII
1871,MDCCCLXXI
59,LIX
1127,MCXXVII
CLXXI,171
901,CMI
837,DCCCXXXVII
1275,MCCLXXV
788,DCCLXXXVIII
659,DCLIX
MI,1001
MDCCCXXVIII,1828
2153,MMCLIII
2551,MMDLI
MMXXXII,2032
CMXXI,921
CCLXVIII,268
695,DCXCV
2321,MMCCCXXI
1918,MCMXVIII
MMCCXL,2240
MDCLXVIII,1668
DLXVII,567
MMDCXIII,2613
1293,MCCXCIII
MDLXX,1570
CMLI,951
2282,MMCCLXXXII
DCLXXII,672
372,CCCLXXII
MDCXX,1620
MCDVIII,1408
MMDLXXXIX,2589
DCXLII,642
DCCLXIV,764
CDLXXXIV,484
viiii,9
718,DCCXVIII
2666,MMDCLXVI
609,DCIX
MMCCCXXIV,2324
MMDXI,2511
MMII,2002
DCCXCI,791
MDCXLVI,1646
489,CDLXXXIX
CMLXI,961
MMDCLII,2652
469,CDLXIX
MXL,1040
MMCCCLI,2351
LXXXVIII,88
DCCCLXXVII,877
1202,MCCII
CDXXIX,429
1675,MDCLXXV
MDCCCLXXXVI,1886
2105,MMCV
266,CCLXVI
DCCLV,755
2338,MMCCCXXXVIII
1638,MDCXXXVIII
MCCLXXIV,1274
1720,MDCCXX
CXXVI,126
MCMLIII,1953
1318,MCCCXVIII
882,DCCCLXXXII
MMDCLXXV,2675
MMCCXXII,2222
MMCCCLXXIII,2373
MMDXCIX,2599
MMXXIX,2029
218,CCXVIII
1483,MCDLXXXIII
1393,MCCCXCIII
842,DCCCXLII
495,CDXCV
MMCCXXXIV,2234
MMCCLXV,2265
DCCCX,810
MCXXVII,1127
2667,MMDCLXVII
MCCCXXXII,1332
MCDXCIV,1494
547,DXLVII
47,XLVII
1469,MCDLXIX
2933,MMCMXXXIII
MMXXXIX,2039
1524,MDXXIV
CXLII,142
MDCLXVI,1666
MMDLVII,2557
2495,MMCDXCV
106,CVI
2731,MMDCCXXXI
2700,MMDCC
MMCCVI,2206
2862,MMDCCCLXII
MCXXIX,1129
1171,MCLXXI
1296,MCCXCVI
754,DCCLIV
DCCCLXXXVII,887
1939,MCMXXXIX
MMCMXIII,2913
MMDCCVI,2706
2281,MMCCLXXXI
-1,ERROR
652,DCLII
MMDCXXVIII,2628
1906,MCMVI
1803,MDCCCIII
302,CCCII
2522,MMDXXII
DCCLXXVII,777
2084,MMLXXXIV
MCC,1200
2444,MMCDXLIV
MCMXCVIII,1998
DCXCVII,697
1759,MDCCLIX
2791,MMDCCXCI
155,CLV
1436,MCDXXXVI
1001,MI
2564,MMDLXIV
1849,MDCCCXLIX
1960,MCMLX
MXLI,1041
2588,MMDLXXXVIII
MCMLXXIX,1979
MXXVII,1027
2582,MMDLXXXII
527,DXXVII
2897,MMDCCCXCVII
MLXIX,1069
LXI,61
MDCXII,1612
DCCXXIII,723
MMCMXXXVIII,2938
2707,MMDCCVII
MMDLIII,2553
1006,MVI
MMDCXCVI,2696
MMCCXLII,2242
MCDLII,1452
2872,MMDCCCLXXII
681,DCLXXXI
1126,MCXXVI
MMCDXCI,2491
2094,MMXCIV
2826,MMDCCCXXVI
DCCCLXV,865
328,CCCXXVIII
MMXLI,2041
CMXLVII,947
LXXXV,85
963,CMLXIII
MMCDXXXVII,2437
MMDCCCXCII,2892
2200,MMCC
89,LXXXIX
MMCXI,2111
DXIX,519
DXL,540
CCCLXXII,372
1570,MDLXX
CDXXXVIII,438
64,LXIV
2249,MMCCXLIX
274,CCLXXIV
CCXLVIII,248
MDCXCVIII,1698
801,DCCCI
973,CMLXXIII
MMCDLXXVIII,2478
213,CCXIII
902,CMII
2792,MMDCCXCII
CCXXXI,231
1130,MCXXX
2870,MMDCCCLXX
MDCXIII,1613
1569,MDLXIX
817,DCCCXVII
1439,MCDXXXIX
1699,MDCXCIX
1108,MCVIII
2328,MMCCCXXVIII
CLVII,157
1892,MDCCCXCII
498,CDXCVIII
630,DCXXX
MCMXXX,1930
MMCDIX,2409
CMXXII,922
1221,MCCXXI
84,LXXXIV
2334,MMCCCXXXIV
CLXXVIII,178
MDCCXXXIV,1734
810,DCCCX
614,DCXIV
2549,MMDXLIX
III,3
MDLXXX,1580
2859,MMDCCCLIX
DCXLVI,646
MCCXXXVII,1237
552,DLII
585,DLXXXV
2951,MMCMLI
DCCCXXXVI,836
MCMXCII,1992
MCLI,1151
108,CVIII
1764,MDCCLXIV
1626,MDCXXVI
DLXXVI,576
MMCMXCIII,2993
271,CCLXXI
MMCDXCIX,2499
1332,MCCCXXXII
1830,MDCCCXXX
1519,MDXIX
20,XX
DCCXXVII,727
628,DCXXVIII
MDCCCVII,1807
2803,MMDCCCIII
2279,MMCCLXXIX
1904,MCMIV
MMDCCLXXII,2772
CCCVII,307
708,DCCVIII
2600,MMDC
938,CMXXXVIII
MMLVI,2056
2736,MMDCCXXXVI
MMDCCVIII,2708
MMXXVII,2027
,ERROR
CDXC,490
MDCXCVII,1697
815,DCCCXV
809,DCCCIX
MMDCXLI,2641
2455,MMCDLV
MDCCCLXIX,1869
MMCMLXXIV,2974
CMLXXXIX,989
1594,MDXCIV
2383,MMCCCLXXXIII
2836,MMDCCCXXXVI
2137,MMCXXXVII
CCCXXII,322
1995,MCMXCV
MCCCXXII,1322
2347,MMCCCXLVII
MMDCCCXLIII,2843
MCDXXIV,1424
DCCLII,752
CDXXXI,431
MMLXXXVI,2086
MMCCCLXXXIX,2389
192,CXCII
MDCXCII,1692
MDCCCXXIX,1829
941,CMXLI
CMXLI,941
2275,MMCCLXXV
401,CDI
2407,MMCDVII
MCMX,1910
2259,MMCCLIX
MMDCLXXXV,2685
DXLIX,549
2114,MMCXIV
284,CCLXXXIV
165,CLXV
486,CDLXXXVI
2465,MMCDLXV
2025,MMXXV
2874,MMDCCCLXXIV
MCCXII,1212
MDLXXIV,1574
725,DCCXXV
208,CCVIII
2102,MMCII
662,DCLXII
1954,MCMLIV
631,DCXXXI
611,DCXI
MMXI,2011
CCLVII,257
DCLXVII,667
CMVII,907
2018,MMXVIII
MMDCLX,2660
2614,MMDCXIV
MCMLV,1955
2766,MMDCCLXVI
MMDCCXXXIX,2739
1965,MCMLXV
813,DCCCXIII
MMCMLXXXIX,2989
CXLIX,149
2054,MMLIV
XIV,14
1734,MDCCXXXIV
DXXI,521
MMLXX,2070
MMCCCLIII,2353
1259,MCCLIX
775,DCCLXXV
135,CXXXV
3000,MMM
18,XVIII
MDCCCXXVI,1826
CDLXXIX,479
MMLXXXIX,2089
510,DX
CCCLXXXIV,384
994,CMXCIV
1179,MCLXXIX
CDLVIII,458
CCCXXXIX,339
1655,MDCLV
DCXLV,645
1742,MDCCXLII
147,CXLVII
MCCLXXVIII,1278
DLXXXII,582
1085,MLXXXV
1942,MCMXLII
MMCCCLXXIX,2379
MMCCCXLIII,2343
86,LXXXVI
MMVI,2006
CXLVII,147
MMCXXVI,2126
CMXII,912
MMCCCLXXXI,2381
CDXCIX,499
481,CDLXXXI
MMCMLIII,2953
1708,MDCCVIII
2525,MMDXXV
2949,MMCMXLIX
DCLXXX,680
2996,MMCMXCVI
1948,MCMXLVIII
2189,MMCLXXXIX
CMI,901
2510,MMDX
2906,MMCMVI
MDXLIV,1544
2882,MMDCCCLXXXII
721,DCCXXI
CCXXXIX,239
1444,MCDXLIV
366,CCCLXVI
2424,MMCDXXIV
2462,MMCDLXII
1272,MCCLXXII
XXIII,23
444,CDXLIV
MCXVII,1117
LI,51
MMDCLVI,2656
DCCLXXIX,779
MCCCXL,1340
2513,MMDXIII
633,DCXXXIII
2740,MMDCCXL
MMDXXVIII,2528
825,DCCCXXV
--34,ERROR
2978,MMCMLXXVIII
CCLXXXV,285
MDCVI,1606
177,CLXXVII
477,CDLXXVII
DCCCLXXV,875
XXXVIII,38
2491,MMCDXCI
CCCLXV,365
550,DL
1349,MCCCXLIX
MDLXXXIV,1584
716,DCCXVI
1378,MCCCLXXVIII
774,DCCLXXIV
MCMLVII,1957
2767,MMDCCLXVII
1354,MCCCLIV
MCCXVI,1216
MMCCXXXIX,2239
1572,MDLXXII
MCXXXII,1132
MMXIX,2019
2638,MMDCXXXVIII
MMDXLIII,2543
MMDCCCXXVIII,2828
MMCDLXXXI,2481
2068,MMLXVIII
MCDXCIII,1493
1410,MCDX
383,CCCLXXXIII
,ERROR
MDXXIII,1523
MMCXXIV,2124
MCCCXLV,1345
MMDCCXL,2740
LVII,57
2807,MMDCCCVII
MMDCCLVII,2757
CDXXVI,426
2770,MMDCCLXX
434,CDXXXIV
MCMV,1905
MDCCLVI,1756
MLXXXVIII,1088
1222,MCCXXII
MDCCCLXV,1865
MMCXLVIII,2148
MDXCIX,1599
DCXCIV,694
MDCCCLIII,1853
MMCMXI,2911
MMLXII,2062
CXXXIX,139
1554,MDLIV
CDLVI,456
MDCCLXXXIX,1789
MMCMLXIV,2964
MCDXLIV,1444
MCXLVI,1146
427,CDXXVII
XCVII,97
2641,MMDCXLI
MDLXXXVI,1586
MMCCCV,2305
2601,MMDCI
MMCCXXVI,2226
DLXVIII,568
MMCCXXVIII,2228
MCMXXVIII,1928
2250,MMCCL
840,DCCCXL
1233,MCCXXXIII
2527,MMDXXVII
814,DCCCXIV
MMDCCLXXXIX,2789
1159,MCLIX
693,DCXCIII
2160,MMCLX
MMDLXVII,2567
MDCXV,1615
DCCCIII,803
2026,MMXXVI
MXI,1011
MMDXXXVII,2537
MCDXXXVI,1436
1576,MDLXXVI
CXXIII,123
1280,MCCLXXX
897,DCCCXCVII
913,CMXIII
MMCDXXXIV,2434
1550,MDL
2639,MMDCXXXIX
MMCLXXV,2175
DCXXIII,623
1989,MCMLXXXIX
2344,MMCCCXLIV
2738,MMDCCXXXVIII
2681,MMDCLXXXI
MXLV,1045
CMLVIII,958
1190,MCXC
DCVI,606
CMLXVII,967
CLXXVI,176
CCXXXII,232
MMCCCXXV,2325
MDCCXLIX,1749
MMCCLV,2255
MMCXLV,2145
MDCCCL,1850
700,DCC
664,DCLXIV
DLXXXI,581
MMCVIII,2108
1509,MDIX
CCCXXIX,329
DCCVIII,708
MMDCCCLXII,2862
MMCCCXLIX,2349
2297,MMCCXCVII
1375,MCCCLXXV
DCLVI,656
CCLXXIX,279
MMDCCCXXXV,2835
2360,MMCCCLX
MDLXXXIII,1583
MMLIV,2054
1277,MCCLXXVII
DCXXXIV,634
1370,MCCCLXX
MMDCXCI,2691
MMDCCCLXXXIX,2889
DXLVIII,548
MMDCCCLXVII,2867
MMCLXVIII,2168
382,CCCLXXXII
1412,MCDXII
vi,6
MMCCVIII,2208
MMCXVII,2117
97,XCVII
1219,MCCXIX
1544,MDXLIV
2555,MMDLV
2985,MMCMLXXXV
MMXCV,2095
MDCIII,1603
128,CXXVIII
1225,MCCXXV
2661,MMDCLXI
2573,MMDLXXIII
2490,MMCDXC
MMCCCXC,2390
1807,MDCCCVII
MMCXLVI,2146
MMDCCCXXX,2830
2890,MMDCCCXC
MDCCLXXIII,1773
404,CDIV
1713,MDCCXIII
MDCCLXXVII,1777
MMDCCLXIX,2769
794,DCCXCIV
MMCCCLXIV,2364
1043,MXLIII
1433,MCDXXXIII
2035,MMXXXV
2652,MMDCLII
760,DCCLX
LXIX,69
MCLXXVI,1176
CCCXI,311
237,CCXXXVII
1593,MDXCIII
MMLXXIII,2073
MMDCLXXXVI,2686
1588,MDLXXXVIII
CMXLII,942
22,XXII
MMDCCCLXIV,2864
1636,MDCXXXVI
MMCMLXXXIV,2984
MDCCLXXVI,1776
1676,MDCLXXVI
MMCXLIX,2149
2090,MMXC
MMCCCXLII,2342
MDLXXXIX,1589
CDLXXXVI,486
MCDLXXXVIII,1488
DCXXVIII,628
478,CDLXXVIII
MCMLXXXII,1982
1706,MDCCVI
MDCLII,1652
2015,MMXV
594,DXCIV
2339,MMCCCXXXIX
1853,MDCCCLIII
CIX,109
Cm,900
1744,MDCCXLIV
MCDXXII,1422
1666,MDCLXVI
777,DCCLXXVII
MCCCLXXXIII,1383
2000,MM
DCCLXXIV,774
580,DLXXX
2541,MMDXLI
MMCMXXX,2930
2110,MMCX
DCXXV,625
1639,MDCXXXIX
CMXXXII,932
6,VI
CDII,402
468,CDLXVIII
MLIX,1059
MDCCCLXXXI,1881
CLXXV,175
MMCCCLXIX,2369
MCMLXIII,1963
MMXLIII,2043
MMDXXXIV,2534
XCII,92
1806,MDCCCVI
2855,MMDCCCLV
1466,MCDLXVI
MMCDLXXIV,2474
MCCLXXXVII,1287
MCCCXCVIII,1398
MMDLXIII,2563
2848,MMDCCCXLVIII
643,DCXLIII
1224,MCCXXIV
772,DCCLXXII
MMXCVI,2096
2342,MMCCCXLII
CMLXXXIII,983
222,CCXXII
400,CD
2990,MMCMXC
378,CCCLXXVIII
2370,MMCCCLXX
1403,MCDIII
CLXXXII,182
2873,MMDCCCLXXIII
889,DCCCLXXXIX
2245,MMCCXLV
270,CCLXX
XLII,42
MMDCXLIII,2643
838,DCCCXXXVIII
2280,MMCCLXXX
808,DCCCVIII
1686,MDCLXXXVI
1154,MCLIV
900,CM
MLIV,1054
1262,MCCLXII
MMXVII,2017
943,CMXLIII
MXXIII,1023
MMCXLII,2142
MDCCCLXXVIII,1878
CXVI,116
MCDXLVI,1446
MMDCXXXV,2635
MCMXCVI,1996
1551,MDLI
1371,MCCCLXXI
2335,MMCCCXXXV
430,CDXXX
442,CDXLII
MXXXII,1032
243,CCXLIII
DCCCLXXXI,881
1913,MCMXIII
MDCCCXLV,1845
1601,MDCI
MCCXLIX,1249
1737,MDCCXXXVII
1440,MCDXL
MDCCCLXXI,1871
1476,MCDLXXVI
45,XLV
1475,MCDLXXV
577,DLXXVII
2095,MMXCV
MDXXVIII,1528
1771,MDCCLXXI
MDXXI,1521
MCMLXXXVIII,1988
1463,MCDLXIII
MCCLIX,1259
1134,MCXXXIV
1285,MCCLXXXV
MDCCCXIX,1819
272,CCLXXII
2116,MMCXVI
1395,MCCCXCV
CDXXI,421
DXXXIX,539
MMCCLXXXI,2281
CMLV,955
MMDCXXIX,2629
856,DCCCLVI
1068,MLXVIII
560,DLX
ii,2
CDLXV,465
285,CCLXXXV
1722,MDCCXXII
MMDCCXXVII,2727
2197,MMCXCVII
MCCCXCII,1392
MMCCCXXVII,2327
188,CLXXXVIII
MMCDLVII,2457
1454,MCDLIV
1070,MLXX
MCCCXXXIX,1339
2580,MMDLXXX
2448,MMCDXLVIII
MDCCCXLIII,1843
385,CCCLXXXV
DCIII,603
MCCCXXV,1325
116,CXVI
CXLV,145
MMDCCXXXVI,2736
MMDCII,2602
MXXIX,1029
CMLXXVIII,978
CCCLII,352
DXLIV,544
MDXLIX,1549
MMCCLXXXII,2282
1230,MCCXXX
2441,MMCDXLI
1290,MCCXC
MCCXVII,1217
466,CDLXVI
MMCMLXXIX,2979
MMDVI,2506
iii  ,3
888,DCCCLXXXVIII
DCCLIV,754
CCCLXXX,380
407,CDVII
MCXLV,1145
1018,MXVIII
830,DCCCXXX
MDLXXIX,1579
MMCCXCVI,2296
2518,MMDXVIII
MMCCLXXIX,2279
MMCCLXXX,2280
MMCMXXVI,2926
2109,MMCIX
